지역,날짜,총인구수 (명),남자인구수 (명),여자인구수 (명)
강원,2014. 04,1541556,776338,765218
충북,2014. 04,1574548,793961,780587
충남,2014. 04,2053837,1041279,1012558
전북,2014. 04,1871174,931638,939536
전남,2014. 04,1907343,952724,954619
경북,2014. 04,2697438,1355071,1342367
경남,2014. 04,3336980,1680180,1656800
제주,2014. 04,598015,299643,298372
전국,2014. 05,51218424,25621971,25596453
서울,2014. 05,10133734,4999497,5134237
부산,2014. 05,3521473,1742696,1778777
대구,2014. 05,2498632,1243946,1254686
인천,2014. 05,2891615,1454165,1437450
광주,2014. 05,1473697,730441,743256
대전,2014. 05,1535415,768423,766992
울산,2014. 05,1160275,597474,562801
세종,2014. 05,129669,65909,63760
경기,2014. 05,12286470,6185339,6101131
강원,2014. 05,1541841,776437,765404
충북,2014. 05,1575073,794152,780921
충남,2014. 05,2056156,1042559,1013597
전북,2014. 05,1871333,931651,939682
전남,2014. 05,1906487,952192,954295
경북,2014. 05,2697563,1355055,1342508
경남,2014. 05,3339869,1681722,1658147
제주,2014. 05,599122,300313,298809
전국,2014. 06,51233579,25628547,25605032
서울,2014. 06,10129223,4996391,5132832
부산,2014. 06,3521210,1742434,1778776
대구,2014. 06,2498450,1243797,1254653
인천,2014. 06,2892483,1454600,1437883
광주,2014. 06,1474546,730751,743795
대전,2014. 06,1535701,768522,767179
울산,2014. 06,1161019,597879,563140
세종,2014. 06,130708,66427,64281
경기,2014. 06,12300698,6192798,6107900
강원,2014. 06,1541568,776108,765460
충북,2014. 06,1576066,794719,781347
충남,2014. 06,2057178,1043065,1014113
전북,2014. 06,1870844,931333,939511
전남,2014. 06,1905242,951551,953691
경북,2014. 06,2697248,1354925,1342323
경남,2014. 06,3341111,1682351,1658760
제주,2014. 06,600284,300896,299388
전국,2014. 07,51250261,25635765,25614496
서울,2014. 07,10125912,4994112,5131800
부산,2014. 07,3520288,1741809,1778479
대구,2014. 07,2497705,1243426,1254279
인천,2014. 07,2894151,1455207,1438944
광주,2014. 07,1475676,731288,744388
대전,2014. 07,1536349,768832,767517
울산,2014. 07,1161538,598236,563302
세종,2014. 07,132016,67017,64999
경기,2014. 07,12313649,6199495,6114154
강원,2014. 07,1541315,775808,765507
충북,2014. 07,1576819,795052,781767
충남,2014. 07,2058114,1043678,1014436
전북,2014. 07,1871456,931568,939888
전남,2014. 07,1904195,951046,953149
경북,2014. 07,2697325,1354761,1342564
경남,2014. 07,3342286,1682935,1659351
제주,2014. 07,601467,301495,299972
전국,2014. 08,51266779,25643094,25623685
서울,2014. 08,10124243,4992925,5131318
부산,2014. 08,3520287,1741594,1778693
대구,2014. 08,2496596,1242782,1253814
인천,2014. 08,2895292,1455683,1439609
광주,2014. 08,1476459,731655,744804
대전,2014. 08,1536286,768825,767461
울산,2014. 08,1162316,598642,563674
세종,2014. 08,134631,68319,66312
경기,2014. 08,12324470,6204878,6119592
강원,2014. 08,1541010,775609,765401
충북,2014. 08,1577549,795446,782103
충남,2014. 08,2058652,1043937,1014715
전북,2014. 08,1872056,931863,940193
전남,2014. 08,1903177,950473,952704
경북,2014. 08,2697927,1354995,1342932
경남,2014. 08,3343307,1683447,1659860
제주,2014. 08,602521,302021,300500
전국,2014. 09,51284774,25651006,25633768
서울,2014. 09,10122661,4991568,5131093
부산,2014. 09,3520732,1741439,1779293
대구,2014. 09,2491269,1240334,1250935
인천,2014. 09,2897018,1456505,1440513
광주,2014. 09,1477517,732118,745399
대전,2014. 09,1535815,768485,767330
울산,2014. 09,1163048,599060,563988
세종,2014. 09,138136,70037,68099
경기,2014. 09,12334023,6209804,6124219
강원,2014. 09,1541414,775742,765672
충북,2014. 09,1578401,795905,782496
충남,2014. 09,2059085,1044226,1014859
전북,2014. 09,1871931,931792,940139
전남,2014. 09,1902350,950073,952277
경북,2014. 09,2703929,1357549,1346380
경남,2014. 09,3343878,1683818,1660060
제주,2014. 09,603567,302551,301016
전국,2014. 10,51302044,25658417,25643627
서울,2014. 10,10117909,4988547,5129362
부산,2014. 10,3525913,1743762,1782151
대구,2014. 10,2492994,1241130,1251864
인천,2014. 10,2899071,1457469,1441602
광주,2014. 10,1477780,732389,745391
대전,2014. 10,1535028,768106,766922
울산,2014. 10,1163690,599456,564234
세종,2014. 10,142686,72294,70392
경기,2014. 10,12342448,6213736,6128712
강원,2014. 10,1542147,775948,766199
충북,2014. 10,1578934,796149,782785
충남,2014. 10,2059871,1044654,1015217
전북,2014. 10,1871747,931654,940093
전남,2014. 10,1902324,949962,952362
경북,2014. 10,2700328,1355885,1344443
경남,2014. 10,3344403,1684093,1660310
제주,2014. 10,604771,303183,301588
전국,2014. 11,51314683,25663668,25651015
서울,2014. 11,10112156,4984988,5127168
부산,2014. 11,3522643,1742210,1780433
대구,2014. 11,2493857,1241531,1252326
인천,2014. 11,2900996,1458361,1442635
광주,2014. 11,1478204,732567,745637
대전,2014. 11,1534041,767536,766505
울산,2014. 11,1166229,600845,565384
세종,2014. 11,148151,74983,73168
경기,2014. 11,12348078,6215639,6132439
강원,2014. 11,1542604,776339,766265
충북,2014. 11,1579037,796211,782826
충남,2014. 11,2060971,1045234,1015737
전북,2014. 11,1871725,931702,940023
전남,2014. 11,1902916,950465,952451
경북,2014. 11,2699686,1355600,1344086
경남,2014. 11,3347317,1685563,1661754
제주,2014. 11,606072,303894,302178
전국,2014. 12,51327916,25669296,25658620
서울,2014. 12,10103233,4979768,5123465
부산,2014. 12,3519401,1740417,1778984
대구,2014. 12,2493264,1241119,1252145
인천,2014. 12,2902608,1459074,1443534
광주,2014. 12,1475884,731339,744545
대전,2014. 12,1531809,766497,765312
울산,2014. 12,1166377,600904,565473
세종,2014. 12,156125,78862,77263
경기,2014. 12,12357830,6219813,6138017
강원,2014. 12,1544442,778007,766435
충북,2014. 12,1578933,796141,782792
충남,2014. 12,2062273,1045892,1016381
전북,2014. 12,1871560,931536,940024
전남,2014. 12,1905780,951975,953805
경북,2014. 12,2700794,1356182,1344612
경남,2014. 12,3350257,1687114,1663143
제주,2014. 12,607346,304656,302690
전국,2015. 01,51342881,25675816,25667065
서울,2015. 01,10104515,4979523,5124992
부산,2015. 01,3517898,1739447,1778451
대구,2015. 01,2492658,1240653,1252005
인천,2015. 01,2904876,1460106,1444770
광주,2015. 01,1476891,731801,745090
대전,2015. 01,1531287,766194,765093
울산,2015. 01,1167232,601448,565784
세종,2015. 01,161716,81538,80178
경기,2015. 01,12366711,6223885,6142826
강원,2015. 01,1543640,777867,765773
충북,2015. 01,1578531,795886,782645
충남,2015. 01,2063050,1046373,1016677
전북,2015. 01,1871018,931297,939721
전남,2015. 01,1904220,951388,952832
경북,2015. 01,2699275,1355546,1343729
경남,2015. 01,3351038,1687712,1663326
제주,2015. 01,608325,305152,303173
전국,2015. 02,51360454,25683724,25676730
서울,2015. 02,10105206,4979040,5126166
부산,2015. 02,3517939,1739181,1778758
대구,2015. 02,2492583,1240549,1252034
인천,2015. 02,2906603,1460824,1445779
광주,2015. 02,1477340,731983,745357
대전,2015. 02,1529431,765210,764221
울산,2015. 02,1167385,601671,565714
세종,2015. 02,169762,85432,84330
경기,2015. 02,12376944,6229184,6147760
강원,2015. 02,1542918,777518,765400
충북,2015. 02,1578253,795753,782500
충남,2015. 02,2062924,1046408,1016516
전북,2015. 02,1870728,931158,939570
전남,2015. 02,1903220,950919,952301
경북,2015. 02,2698469,1355236,1343233
경남,2015. 02,3351137,1687916,1663221
제주,2015. 02,609612,305742,303870
전국,2015. 03,51378174,25691721,25686453
서울,2015. 03,10100987,4976047,5124940
부산,2015. 03,3515839,1737884,1777955
대구,2015. 03,2491897,1239929,1251968
인천,2015. 03,2908418,1461607,1446811
광주,2015. 03,1477504,732108,745396
대전,2015. 03,1528090,764495,763595
울산,2015. 03,1168692,602343,566349
세종,2015. 03,174920,87996,86924
경기,2015. 03,12392297,6237256,6155041
강원,2015. 03,1543187,777725,765462
충북,2015. 03,1578748,796084,782664
충남,2015. 03,2064229,1047300,1016929
전북,2015. 03,1869966,930629,939337
전남,2015. 03,1902274,950455,951819
경북,2015. 03,2697302,1354636,1342666
경남,2015. 03,3352780,1688743,1664037
제주,2015. 03,611044,306484,304560
전국,2015. 04,51395238,25699428,25695810
서울,2015. 04,10094889,4972616,5122273
부산,2015. 04,3515439,1737312,1778127
대구,2015. 04,2491545,1239638,1251907
인천,2015. 04,2910307,1462351,1447956
광주,2015. 04,1477609,732108,745501
대전,2015. 04,1527314,764055,763259
울산,2015. 04,1169433,602802,566631
세종,2015. 04,178656,89856,88800
경기,2015. 04,12405279,6243963,6161316
강원,2015. 04,1543811,778078,765733
충북,2015. 04,1579291,796500,782791
충남,2015. 04,2065609,1048079,1017530
전북,2015. 04,1869900,930512,939388
전남,2015. 04,1902212,950418,951794
경북,2015. 04,2696837,1354216,1342621
경남,2015. 04,3354602,1689642,1664960
제주,2015. 04,612505,307282,305223
전국,2015. 05,51413925,25707941,25705984
서울,2015. 05,10088393,4968609,5119784
부산,2015. 05,3515806,1737367,1778439
대구,2015. 05,2491867,1239697,1252170
인천,2015. 05,2912114,1463289,1448825
광주,2015. 05,1477212,731865,745347
대전,2015. 05,1526568,763641,762927
울산,2015. 05,1169658,602919,566739
세종,2015. 05,182028,91535,90493
경기,2015. 05,12418899,6250770,6168129
강원,2015. 05,1545194,778923,766271
충북,2015. 05,1580042,796871,783171
충남,2015. 05,2067096,1048852,1018244
전북,2015. 05,1869965,930503,939462
전남,2015. 05,1902383,950626,951757
경북,2015. 05,2696674,1354095,1342579
경남,2015. 05,3356168,1690433,1665735
제주,2015. 05,613858,307946,305912
전국,2015. 06,51431100,25715304,25715796
서울,2015. 06,10078850,4962774,5116076
부산,2015. 06,3517491,1737975,1779516
대구,2015. 06,2491137,1239275,1251862
인천,2015. 06,2914271,1464320,1449951
광주,2015. 06,1476974,731808,745166
대전,2015. 06,1525656,763262,762394
울산,2015. 06,1169768,602945,566823
세종,2015. 06,185212,93058,92154
경기,2015. 06,12432063,6256986,6175077
강원,2015. 06,1547166,780487,766679
충북,2015. 06,1582181,797908,784273
충남,2015. 06,2068444,1049546,1018898
전북,2015. 06,1869668,930224,939444
전남,2015. 06,1902638,950693,951945
경북,2015. 06,2697791,1354618,1343173
경남,2015. 06,3356540,1690798,1665742
제주,2015. 06,615250,308627,306623
전국,2015. 07,51448183,25722769,25725414
서울,2015. 07,10071654,4958550,5113104
부산,2015. 07,3518955,1738689,1780266
대구,2015. 07,2490799,1239093,1251706
인천,2015. 07,2916719,1465476,1451243
광주,2015. 07,1476716,731692,745024
대전,2015. 07,1525195,763038,762157
울산,2015. 07,1170232,603148,567084
세종,2015. 07,189478,95131,94347
경기,2015. 07,12444924,6263282,6181642
강원,2015. 07,1547737,780890,766847
충북,2015. 07,1581840,797741,784099
충남,2015. 07,2069109,1049886,1019223
전북,2015. 07,1869354,929977,939377
전남,2015. 07,1903046,950924,952122
경북,2015. 07,2698899,1355087,1343812
경남,2015. 07,3356488,1690690,1665798
제주,2015. 07,617038,309475,307563
전국,2015. 08,51465228,25730212,25735016
서울,2015. 08,10063197,4953797,5109400
부산,2015. 08,3517907,1738010,1779897
대구,2015. 08,2490621,1238966,1251655
인천,2015. 08,2918982,1466588,1452394
광주,2015. 08,1476152,731412,744740
대전,2015. 08,1524025,762347,761678
울산,2015. 08,1170640,603331,567309
세종,2015. 08,194173,97435,96738
경기,2015. 08,12460604,6271034,6189570
강원,2015. 08,1547646,780655,766991
충북,2015. 08,1581792,797758,784034
충남,2015. 08,2071333,1051093,1020240
전북,2015. 08,1869025,929786,939239
전남,2015. 08,1903609,951080,952529
경북,2015. 08,2699955,1355736,1344219
경남,2015. 08,3357120,1690969,1666151
제주,2015. 08,618447,310215,308232
전국,2015. 09,51482816,25738014,25744802
서울,2015. 09,10055027,4949180,5105847
부산,2015. 09,3516704,1737350,1779354
대구,2015. 09,2490584,1238902,1251682
인천,2015. 09,2920938,1467490,1453448
광주,2015. 09,1475590,731096,744494
대전,2015. 09,1523338,761961,761377
울산,2015. 09,1170980,603516,567464
세종,2015. 09,197964,99317,98647
경기,2015. 09,12475565,6278190,6197375
강원,2015. 09,1548082,780890,767192
충북,2015. 09,1582080,797971,784109
충남,2015. 09,2072314,1051681,1020633
전북,2015. 09,1869255,929975,939280
전남,2015. 09,1904402,951404,952998
경북,2015. 09,2700461,1355977,1344484
경남,2015. 09,3359523,1692102,1667421
제주,2015. 09,620009,311012,308997
전국,2015. 10,51500986,25746132,25754854
서울,2015. 10,10045027,4943565,5101462
부산,2015. 10,3515689,1736778,1778911
대구,2015. 10,2489847,1238374,1251473
인천,2015. 10,2923030,1468473,1454557
광주,2015. 10,1474603,730729,743874
대전,2015. 10,1522288,761366,760922
울산,2015. 10,1173050,604638,568412
세종,2015. 10,202214,101444,100770
경기,2015. 10,12491080,6285999,6205081
강원,2015. 10,1549221,781383,767838
충북,2015. 10,1582656,798230,784426
충남,2015. 10,2073340,1052186,1021154
전북,2015. 10,1869297,929906,939391
전남,2015. 10,1905616,951942,953674
경북,2015. 10,2700878,1356202,1344676
경남,2015. 10,3361489,1693050,1668439
제주,2015. 10,621661,311867,309794
전국,2015. 11,51515399,25752345,25763054
서울,2015. 11,10035597,4938482,5097115
부산,2015. 11,3514842,1736279,1778563
대구,2015. 11,2489339,1238044,1251295
인천,2015. 11,2924578,1469254,1455324
광주,2015. 11,1474910,730814,744096
대전,2015. 11,1521142,760818,760324
울산,2015. 11,1174051,605128,568923
세종,2015. 11,206044,103384,102660
경기,2015. 11,12504790,6291542,6213248
강원,2015. 11,1549178,781285,767893
충북,2015. 11,1583053,798498,784555
충남,2015. 11,2074956,1053086,1021870
전북,2015. 11,1869654,930163,939491
전남,2015. 11,1905373,952039,953334
경북,2015. 11,2702186,1356986,1345200
경남,2015. 11,3362754,1693925,1668829
제주,2015. 11,622952,312618,310334
전국,2015. 12,51529338,25758186,25771152
서울,2015. 12,10022181,4930943,5091238
부산,2015. 12,3513777,1735570,1778207
대구,2015. 12,2487829,1237291,1250538
인천,2015. 12,2925815,1469869,1455946
광주,2015. 12,1472199,729662,742537
대전,2015. 12,1518775,759778,758997
울산,2015. 12,1173534,604889,568645
세종,2015. 12,210884,105752,105132
경기,2015. 12,12522606,6299812,6222794
강원,2015. 12,1549507,781434,768073
충북,2015. 12,1583952,798896,785056
충남,2015. 12,2077649,1054439,1023210
전북,2015. 12,1869711,930255,939456
전남,2015. 12,1908996,953881,955115
경북,2015. 12,2702826,1357306,1345520
경남,2015. 12,3364702,1694981,1669721
제주,2015. 12,624395,313428,310967
전국,2016. 01,51541582,25763237,25778345
서울,2016. 01,10018537,4927897,5090640
부산,2016. 01,3513361,1735280,1778081
대구,2016. 01,2487823,1237155,1250668
인천,2016. 01,2927195,1470473,1456722
광주,2016. 01,1472802,729995,742807
대전,2016. 01,1518024,759361,758663
울산,2016. 01,1173568,604924,568644
세종,2016. 01,215418,108003,107415
경기,2016. 01,12536474,6306634,6229840
강원,2016. 01,1549193,781185,768008
충북,2016. 01,1583982,799002,784980
충남,2016. 01,2078572,1054997,1023575
전북,2016. 01,1868354,929631,938723
전남,2016. 01,1906904,952924,953980
경북,2016. 01,2701160,1356568,1344592
경남,2016. 01,3364764,1695187,1669577
제주,2016. 01,625451,314021,311430
전국,2016. 02,51555409,25769138,25786271
서울,2016. 02,10014261,4924977,5089284
부산,2016. 02,3513192,1734825,1778367
대구,2016. 02,2486589,1236386,1250203
인천,2016. 02,2928596,1471306,1457290
광주,2016. 02,1472153,729623,742530
대전,2016. 02,1517716,759269,758447
울산,2016. 02,1173143,604806,568337
세종,2016. 02,220108,110236,109872
경기,2016. 02,12551398,6313836,6237562
강원,2016. 02,1548016,780378,767638
충북,2016. 02,1583781,798964,784817
충남,2016. 02,2080030,1055845,1024185
전북,2016. 02,1867534,929265,938269
전남,2016. 02,1905700,952443,953257
경북,2016. 02,2701055,1356673,1344382
경남,2016. 02,3364695,1695300,1669395
제주,2016. 02,627442,315006,312436
전국,2016. 03,51569536,25775322,25794214
서울,2016. 03,10009588,4922103,5087485
부산,2016. 03,3512444,1734251,1778193
대구,2016. 03,2486059,1235985,1250074
인천,2016. 03,2929817,1471951,1457866
광주,2016. 03,1471618,729275,742343
대전,2016. 03,1517118,758806,758312
울산,2016. 03,1172959,604669,568290
세종,2016. 03,223461,111935,111526
경기,2016. 03,12565891,6321080,6244811
강원,2016. 03,1547845,780320,767525
충북,2016. 03,1584325,799332,784993
충남,2016. 03,2081092,1056529,1024563
전북,2016. 03,1866691,928678,938013
전남,2016. 03,1905239,952199,953040
경북,2016. 03,2701148,1356896,1344252
경남,2016. 03,3365021,1695287,1669734
제주,2016. 03,629220,316026,313194
전국,2016. 04,51584349,25781628,25802721
서울,2016. 04,10002979,4918312,5084667
부산,2016. 04,3511974,1733680,1778294
대구,2016. 04,2485663,1235606,1250057
인천,2016. 04,2932141,1472988,1459153
광주,2016. 04,1471819,729446,742373
대전,2016. 04,1516904,758719,758185
울산,2016. 04,1172925,604597,568328
세종,2016. 04,225488,112910,112578
경기,2016. 04,12578597,6327267,6251330
강원,2016. 04,1548170,780311,767859
충북,2016. 04,1585312,799906,785406
충남,2016. 04,2082319,1057262,1025057
전북,2016. 04,1866184,928445,937739
전남,2016. 04,1904917,952043,952874
경북,2016. 04,2701238,1356951,1344287
경남,2016. 04,3366658,1696142,1670516
제주,2016. 04,631061,317043,314018
전국,2016. 05,51601265,25788953,25812312
서울,2016. 05,9995784,4914078,5081706
부산,2016. 05,3510833,1733069,1777764
대구,2016. 05,2485134,1235130,1250004
인천,2016. 05,2933959,1473753,1460206
광주,2016. 05,1472317,729692,742625
대전,2016. 05,1516494,758476,758018
울산,2016. 05,1173147,604609,568538
세종,2016. 05,227972,114140,113832
경기,2016. 05,12594829,6335366,6259463
강원,2016. 05,1547821,779972,767849
충북,2016. 05,1586414,800446,785968
충남,2016. 05,2084034,1058225,1025809
전북,2016. 05,1865634,928228,937406
전남,2016. 05,1904449,951810,952639
경북,2016. 05,2701912,1357450,1344462
경남,2016. 05,3367730,1696633,1671097
제주,2016. 05,632802,317876,314926
전국,2016. 06,51619330,25796204,25823126
서울,2016. 06,9989795,4910202,5079593
부산,2016. 06,3509462,1732157,1777305
대구,2016. 06,2484864,1234964,1249900
인천,2016. 06,2935314,1474326,1460988
광주,2016. 06,1472285,729664,742621
대전,2016. 06,1516208,758452,757756
울산,2016. 06,1173143,604551,568592
세종,2016. 06,230327,115280,115047
경기,2016. 06,12610877,6343196,6267681
강원,2016. 06,1548603,780435,768168
충북,2016. 06,1586943,800667,786276
충남,2016. 06,2085844,1058954,1026890
전북,2016. 06,1865900,928343,937557
전남,2016. 06,1904314,951725,952589
경북,2016. 06,2702385,1357622,1344763
경남,2016. 06,3368792,1697082,1671710
제주,2016. 06,634274,318584,315690
전국,2016. 07,51634618,25802692,25831926
서울,2016. 07,9981673,4905463,5076210
부산,2016. 07,3508095,1731316,1776779
대구,2016. 07,2484856,1234931,1249925
인천,2016. 07,2937217,1475180,1462037
광주,2016. 07,1472481,729777,742704
대전,2016. 07,1516291,758416,757875
울산,2016. 07,1173066,604421,568645
세종,2016. 07,232117,116166,115951
경기,2016. 07,12629325,6352625,6276700
강원,2016. 07,1548636,780330,768306
충북,2016. 07,1587539,801084,786455
충남,2016. 07,2086737,1059341,1027396
전북,2016. 07,1865612,928137,937475
전남,2016. 07,1903692,951462,952230
경북,2016. 07,2702210,1357371,1344839
경남,2016. 07,3369271,1697255,1672016
제주,2016. 07,635800,319417,316383
전국,2016. 08,51649552,25809031,25840521
서울,2016. 08,9971111,4899436,5071675
부산,2016. 08,3507205,1730551,1776654
대구,2016. 08,2485537,1235156,1250381
인천,2016. 08,2938902,1475913,1462989
광주,2016. 08,1472432,729733,742699
대전,2016. 08,1516165,758396,757769
울산,2016. 08,1173005,604325,568680
세종,2016. 08,234510,117375,117135
경기,2016. 08,12649894,6363048,6286846
강원,2016. 08,1548844,780401,768443
충북,2016. 08,1588025,801415,786610
충남,2016. 08,2088268,1060228,1028040
전북,2016. 08,1865232,927897,937335
전남,2016. 08,1902883,951102,951781
경북,2016. 08,2701293,1356859,1344434
경남,2016. 08,3369074,1697047,1672027
제주,2016. 08,637172,320149,317023
전국,2016. 09,51664244,25815202,25849042
서울,2016. 09,9964291,4895508,5068783
부산,2016. 09,3505821,1729643,1776178
대구,2016. 09,2485692,1235200,1250492
인천,2016. 09,2940436,1476418,1464018
광주,2016. 09,1472379,729673,742706
대전,2016. 09,1516241,758289,757952
울산,2016. 09,1172965,604227,568738
세종,2016. 09,236134,118206,117928
경기,2016. 09,12666278,6371378,6294900
강원,2016. 09,1549483,780675,768808
충북,2016. 09,1588548,801655,786893
충남,2016. 09,2089831,1061077,1028754
전북,2016. 09,1864729,927682,937047
전남,2016. 09,1902077,950653,951424
경북,2016. 09,2701445,1356958,1344487
경남,2016. 09,3369695,1697285,1672410
제주,2016. 09,638199,320675,317524
전국,2016. 10,51677054,25820488,25856566
서울,2016. 10,9954791,4890007,5064784
부산,2016. 10,3503789,1728422,1775367
대구,2016. 10,2485484,1234986,1250498
인천,2016. 10,2941793,1477015,1464778
광주,2016. 10,1471911,729485,742426
대전,2016. 10,1515787,758013,757774
울산,2016. 10,1173178,604248,568930
세종,2016. 10,238533,119398,119135
경기,2016. 10,12683730,6380142,6303588
강원,2016. 10,1550021,780889,769132
충북,2016. 10,1589268,802058,787210
충남,2016. 10,2091626,1061988,1029638
전북,2016. 10,1864043,927284,936759
전남,2016. 10,1902022,950660,951362
경북,2016. 10,2700957,1356799,1344158
경남,2016. 10,3370815,1697809,1673006
제주,2016. 10,639306,321285,318021
전국,2016. 11,51687682,25824429,25863253
서울,2016. 11,9943333,4883805,5059528
부산,2016. 11,3501671,1727358,1774313
대구,2016. 11,2485535,1234750,1250785
인천,2016. 11,2942613,1477356,1465257
광주,2016. 11,1471384,729254,742130
대전,2016. 11,1515394,757902,757492
울산,2016. 11,1172891,604119,568772
세종,2016. 11,240560,120343,120217
경기,2016. 11,12699920,6387398,6312522
강원,2016. 11,1550209,780924,769285
충북,2016. 11,1590537,802676,787861
충남,2016. 11,2093838,1063162,1030676
전북,2016. 11,1864475,927460,937015
전남,2016. 11,1902260,950824,951436
경북,2016. 11,2700843,1356932,1343911
경남,2016. 11,3371731,1698180,1673551
제주,2016. 11,640488,321986,318502
전국,2016. 12,51696216,25827594,25868622
서울,2016. 12,9930616,4876789,5053827
부산,2016. 12,3498529,1725607,1772922
대구,2016. 12,2484557,1234169,1250388
인천,2016. 12,2943069,1477671,1465398
광주,2016. 12,1469214,728137,741077
대전,2016. 12,1514370,757289,757081
울산,2016. 12,1172304,603797,568507
세종,2016. 12,243048,121505,121543
경기,2016. 12,12716780,6395453,6321327
강원,2016. 12,1550806,781146,769660
충북,2016. 12,1591625,803240,788385
충남,2016. 12,2096727,1064765,1031962
전북,2016. 12,1864791,927505,937286
전남,2016. 12,1903914,951889,952025
경북,2016. 12,2700398,1356868,1343530
경남,2016. 12,3373871,1699219,1674652
제주,2016. 12,641597,322545,319052
전국,2017. 01,51704332,25830890,25873442
서울,2017. 01,9930478,4875745,5054733
부산,2017. 01,3496779,1724481,1772298
대구,2017. 01,2484688,1234155,1250533
인천,2017. 01,2944009,1478103,1465906
광주,2017. 01,1469583,728408,741175
대전,2017. 01,1514354,757142,757212
울산,2017. 01,1171656,603471,568185
세종,2017. 01,244939,122451,122488
경기,2017. 01,12728620,6401310,6327310
강원,2017. 01,1549212,780219,768993
충북,2017. 01,1591674,803295,788379
충남,2017. 01,2097406,1065288,1032118
전북,2017. 01,1863298,926821,936477
전남,2017. 01,1902380,951308,951072
경북,2017. 01,2698803,1356260,1342543
경남,2017. 01,3374065,1699430,1674635
제주,2017. 01,642388,323003,319385
전국,2017. 02,51712221,25833963,25878258
서울,2017. 02,9931412,4874839,5056573
부산,2017. 02,3495478,1723568,1771910
대구,2017. 02,2484578,1233889,1250689
인천,2017. 02,2944266,1478113,1466153
광주,2017. 02,1468527,727870,740657
대전,2017. 02,1513877,756811,757066
울산,2017. 02,1169957,602577,567380
세종,2017. 02,247600,123761,123839
경기,2017. 02,12741266,6408014,6333252
강원,2017. 02,1548252,779796,768456
충북,2017. 02,1592001,803533,788468
충남,2017. 02,2099924,1066697,1033227
전북,2017. 02,1861955,926100,935855
전남,2017. 02,1900797,950622,950175
경북,2017. 02,2696329,1355368,1340961
경남,2017. 02,3372266,1698621,1673645
제주,2017. 02,643736,323784,319952
전국,2017. 03,51714935,25833566,25881369
서울,2017. 03,9926968,4871560,5055408
부산,2017. 03,3493041,1721829,1771212
대구,2017. 03,2483488,1232979,1250509
인천,2017. 03,2944630,1478115,1466515
광주,2017. 03,1467766,727352,740414
대전,2017. 03,1512189,755931,756258
울산,2017. 03,1168843,601926,566917
세종,2017. 03,251178,125524,125654
경기,2017. 03,12753983,6414903,6339080
강원,2017. 03,1547735,779542,768193
충북,2017. 03,1591697,803490,788207
충남,2017. 03,2102327,1068132,1034195
전북,2017. 03,1860485,925364,935121
전남,2017. 03,1899441,949774,949667
경북,2017. 03,2694544,1354401,1340143
경남,2017. 03,3371696,1698309,1673387
제주,2017. 03,644924,324435,320489
전국,2017. 04,51722903,25836516,25886387
서울,2017. 04,9922745,4868367,5054378
부산,2017. 04,3491282,1720874,1770408
대구,2017. 04,2483105,1232641,1250464
인천,2017. 04,2945305,1478356,1466949
광주,2017. 04,1467002,726707,740295
대전,2017. 04,1511396,755507,755889
울산,2017. 04,1168501,601623,566878
세종,2017. 04,254112,126951,127161
경기,2017. 04,12763961,6419893,6344068
강원,2017. 04,1547579,779608,767971
충북,2017. 04,1592492,804037,788455
충남,2017. 04,2104463,1069348,1035115
전북,2017. 04,1859703,925005,934698
전남,2017. 04,1899604,950175,949429
경북,2017. 04,2693810,1354089,1339721
경남,2017. 04,3371703,1698224,1673479
제주,2017. 04,646140,325111,321029
전국,2017. 05,51732586,25840361,25892225
서울,2017. 05,9919016,4865778,5053238
부산,2017. 05,3489212,1719792,1769420
대구,2017. 05,2482476,1232194,1250282
인천,2017. 05,2946270,1478780,1467490
광주,2017. 05,1466741,726559,740182
대전,2017. 05,1509587,754432,755155
울산,2017. 05,1167960,601244,566716
세종,2017. 05,259157,129481,129676
경기,2017. 05,12775175,6425769,6349406
강원,2017. 05,1547453,779367,768086
충북,2017. 05,1592573,804119,788454
충남,2017. 05,2105959,1070198,1035761
전북,2017. 05,1858927,924625,934302
전남,2017. 05,1899088,949931,949157
경북,2017. 05,2692859,1353724,1339135
경남,2017. 05,3372586,1698498,1674088
제주,2017. 05,647547,325870,321677
전국,2017. 06,51736224,25840911,25895313
서울,2017. 06,9914381,4862573,5051808
부산,2017. 06,3486570,1718263,1768307
대구,2017. 06,2481985,1231735,1250250
인천,2017. 06,2946915,1479099,1467816
광주,2017. 06,1466451,726451,740000
대전,2017. 06,1508137,753814,754323
울산,2017. 06,1167525,600925,566600
세종,2017. 06,263056,131391,131665
경기,2017. 06,12783741,6430216,6353525
강원,2017. 06,1547829,779669,768160
충북,2017. 06,1592634,804151,788483
충남,2017. 06,2107562,1071202,1036360
전북,2017. 06,1857815,924014,933801
전남,2017. 06,1898065,949266,948799
경북,2017. 06,2691727,1353079,1338648
경남,2017. 06,3373334,1698655,1674679
제주,2017. 06,648497,326408,322089
전국,2017. 07,51744948,25844117,25900831
서울,2017. 07,9908612,4859039,5049573
부산,2017. 07,3484836,1717283,1767553
대구,2017. 07,2481489,1231358,1250131
인천,2017. 07,2947803,1479560,1468243
광주,2017. 07,1466415,726563,739852
대전,2017. 07,1507597,753555,754042
울산,2017. 07,1166942,600568,566374
세종,2017. 07,266075,132913,133162
경기,2017. 07,12795378,6436130,6359248
